FuelType,Car Brand,Car Model,Periodic Service Price GaadiMech,Express Service Price GaadiMech,Comprehensive Service Price GaadiMech,Dent & Paint Price GaadiMech
petrol,Fiat,Punto,3099.0,2899.0,5099.0,4299.0
petrol,Fiat,Punto Evo,3599.0,3399.0,5099.0,2499.0
petrol,Fiat,Uno,3599.0,3399.0,5099.0,2499.0
petrol,Fiat,Abarth Punto,3699.0,3499.0,5099.0,2499.0
petrol,Nissan,Evalia,,,,2499.0
petrol,Nissan,Micra,3199.0,2999.0,5199.0,2199.0
petrol,Nissan,Micra Active,3199.0,2999.0,5199.0,2199.0
petrol,Nissan,Sunny,4399.0,4099.0,5899.0,2499.0
petrol,Nissan,Teana,5099.0,4799.0,6899.0,2499.0
petrol,Nissan,Terrano,5199.0,4899.0,8299.0,2699.0
petrol,Nissan,X-Trail,,,,2899.0
petrol,Nissan,Gtr,28199.0,26499.0,33299.0,4299.0
petrol,Nissan,Kicks,3999.0,3799.0,5199.0,2699.0
petrol,Nissan,Magnite,4099.0,3899.0,5499.0,2699.0
petrol,Renault,Duster,4299.0,4099.0,5299.0,2899.0
petrol,Renault,Fluence,4399.0,4099.0,5899.0,2499.0
petrol,Renault,Koleos,,,,2799.0
petrol,Renault,Lodgy,,,,2699.0
petrol,Renault,Pulse,3499.0,3299.0,5099.0,2499.0
petrol,Renault,Scala,4399.0,4099.0,5899.0,2499.0
petrol,Renault,Kwid,3499.0,3299.0,5099.0,2599.0
petrol,Renault,Triber,3699.0,3499.0,5099.0,2499.0
petrol,Renault,Kiger,4099.0,3899.0,5499.0,2699.0
petrol,Isuzu,MU-X,,,,2799.0
petrol,Volvo,Xc60,17399.0,16299.0,21499.0,4299.0
petrol,Volvo,Xc90,19799.0,18599.0,25099.0,4699.0
petrol,Volvo,S90,16399.0,15399.0,21899.0,4299.0
petrol,Volvo,S60,14999.0,14099.0,20699.0,3999.0
petrol,Volvo,S60 Cross Country,15299.0,14399.0,20899.0,3999.0
petrol,Volvo,S80,19799.0,18599.0,26699.0,4299.0
petrol,Volvo,V40,14999.0,14099.0,20699.0,3799.0
petrol,Volvo,V40 Cross Country,15299.0,14399.0,20899.0,3799.0
petrol,Volvo,S40,14199.0,13299.0,19899.0,3999.0
petrol,Volvo,V60,16899.0,15899.0,21699.0,3999.0
petrol,Volvo,V90,17399.0,16299.0,22299.0,4699.0
petrol,BMW,3 Series,15299.0,14399.0,20899.0,3999.0
petrol,BMW,5 Series,16399.0,15399.0,21899.0,4299.0
petrol,BMW,7 Series,19799.0,18599.0,23899.0,4299.0
petrol,BMW,X1,15299.0,14399.0,20899.0,4299.0
petrol,BMW,X3,16399.0,15399.0,21899.0,4299.0
petrol,BMW,X5,17399.0,16299.0,23899.0,4699.0
petrol,BMW,X7,20799.0,19499.0,25499.0,4699.0
petrol,BMW,1 Series,15299.0,14399.0,20899.0,3999.0
petrol,BMW,3 Series GT,15299.0,14399.0,20899.0,3999.0
petrol,BMW,5 Series GT,16399.0,15399.0,21899.0,4299.0
petrol,BMW,6 Series,18699.0,17599.0,23299.0,4299.0
petrol,BMW,M3,21899.0,20499.0,27299.0,3999.0
petrol,BMW,M5,21899.0,20499.0,26499.0,4299.0
petrol,BMW,X6,20799.0,19499.0,25499.0,4699.0
petrol,BMW,Z4,19899.0,18699.0,27099.0,3999.0
