FuelType,Car Brand,Car Model,Periodic Service Price GaadiMech,Express Service Price GaadiMech,Discounted Price,Comprehensive Service Price GaadiMech,Dent & Paint Price GaadiMech,Dent and Paint Full Body,
petrol,Volvo,S60 Cross Country,16999,15499,15199,20899,3999,35000,15399
petrol,Volvo,S80,21999,20499,20199,26699,4299,35000,20399
petrol,Volvo,V40,15999,15499,15199,20699,3799,40000,15399
petrol,Volvo,V40 Cross Country,15999,15499,15199,20899,3799,40000,15399
petrol,Volvo,S40,15999,15499,15199,19899,3999,40000,15399
petrol,Volvo,V60,16999,16499,16199,21699,3999,40000,16399
petrol,Volvo,V90,19999,19499,19199,22299,4699,50000,19399
petrol,BMW,3 Series,16999,15499,15199,20899,3999,35000,15399
petrol,BMW,5 Series,16999,16499,16199,21899,4299,35000,16399
petrol,BMW,7 Series,19999,19499,19199,23899,4299,45000,19399
petrol,BMW,X1,15599,15499,15199,20899,4299,40000,15399
petrol,BMW,X3,16399,15899,15599,21899,4299,45000,15799
petrol,BMW,X5,19999,18499,18199,23899,4699,45000,18399
petrol,BMW,X7,24999,23499,23199,25499,4699,55000,23399
petrol,BMW,1 Series,15299,15099,14799,20899,3999,35000,14999
petrol,BMW,3 Series GT,15299,15099,14799,20899,3999,35000,14999
petrol,BMW,5 Series GT,17999,16499,16199,21899,4299,40000,16399
petrol,BMW,6 Series,17999,17499,17199,23299,4299,40000,17399
petrol,BMW,M3,21899,20999,20699,27299,3999,35000,20899
petrol,BMW,M5,21899,20999,20699,26499,4299,40000,20899
petrol,BMW,X6,19999,19499,19199,25499,4699,45000,19399
petrol,BMW,Z4,19899,19199,18899,27099,3999,45000,19099
petrol,BMW,X4,16399,15899,15599,21899,4299,45000,15799
petrol,BMW,6 Series GT,18699,18099,17799,22899,4299,45000,17999
petrol,BMW,2 Series,15299,14899,14599,20899,3999,45000,14799
petrol,Mercedes,A-Class,15299,14899,14599,20899,3799,35000,14799
petrol,Mercedes,AMG GT,23999,23499,23199,24899,4299,35000,23399
petrol,Mercedes,B-Class,15299,14899,14599,20899,3799,40000,14799
petrol,Mercedes,CLA-Class,15999,15499,15199,21499,3999,35000,15399
petrol,Mercedes,CLS-Class,16999,16499,16199,23199,4299,38000,16399
petrol,Mercedes,E-Class,15999,15499,15199,20099,4299,40000,15399
petrol,Mercedes,G63 AMG,22999,22499,22199,25499,4699,35000,22399
petrol,Mercedes,GL-Class,19799,19099,18799,29099,4699,40000,18999
petrol,Mercedes,GLA-Class,15299,14899,14599,19299,4299,35000,14799
petrol,Mercedes,GLE-Class,18699,18099,17799,22499,4299,40000,17999
petrol,Mercedes,ML-Class,18699,18099,17799,22499,4699,42000,17999
petrol,Mercedes,S-Class,18699,18099,17799,22499,4299,45000,17999
petrol,Mercedes,SLK-Class,18699,18099,17799,22899,3999,40000,17999
petrol,Mercedes,R-Class,18699,18099,17799,22899,4299,45000,17999
petrol,Mercedes,V-Class,,,200,,4699,45000,400
petrol,Mercedes,Glc,15999,15499,15199,20899,4299,40000,15399
petrol,Mercedes,Gls,20799,19999,19699,26299,4699,45000,19899
petrol,Mercedes,GLE43 AMG,35299,33599,33299,40899,4699,45000,33499
petrol,Audi,A3,14499,14499,14199,19899,3999,35000,14399
petrol,Audi,A4,14499,14499,14199,20899,3999,35000,14399
petrol,Audi,A6,15999,14999,14699,21899,4299,40000,14899
petrol,Audi,A7,16599,16099,15799,23099,4299,40000,15999
petrol,Audi,A8,19799,19099,18799,29099,4299,40000,18999
petrol,Audi,A8 L,19799,19099,18799,29099,4299,40000,18999
petrol,Audi,Q3,14499,14499,14199,20899,4299,35000,14399
petrol,Audi,Q5,15499,14999,14699,21899,4299,38000,14899
petrol,Audi,Q7,18999,17499,17199,25499,4699,45000,17399
petrol,Audi,R8,39999,36499,36199,46499,4299,45000,36399
petrol,Audi,Tt,19799,19099,18799,23299,3999,50000,18999
petrol,Audi,Q8,23999,22499,22199,24699,4699,50000,22399
petrol,Audi,Rs5,19799,19099,18799,27499,4299,50000,18999
petrol,Audi,Rs3,17499,16899,16599,22299,3999,50000,16799
